,0,1,2
90,WOC,"[(1121, 1008), (1138, 965)]","(1129.5, 986.5)"
91,hrs,"[(1143, 999), (1158, 972)]","(1150.5, 985.5)"
92,Wt PPG,"[(1212, 1018), (1228, 956)]","(1220.0, 987.0)"
93,EW PIA,"[(1299, 955), (1280, 1017)]","(1289.5, 986.0)"
94,isk,"[(1299, 1000), (1314, 973)]","(1306.5, 986.5)"
95,Conductor,"[(67, 1035), (184, 1059)]","(125.5, 1047.0)"
96,Ready Mix /,"[(309, 1033), (447, 1060)]","(378.0, 1046.5)"
97,-,"[(927, 1288), (915, 1310)]","(921.0, 1299.0)"
98,/ 562,"[(890, 1035), (951, 1060)]","(920.5, 1047.5)"
99,15,"[(1210, 1038), (1237, 1059)]","(1223.5, 1048.5)"
100,1,"[(1290, 1037), (1305, 1059)]","(1297.5, 1048.0)"
101,Surface,"[(67, 1092), (155, 1117)]","(111.0, 1104.5)"
102,Class A /,"[(324, 1237), (428, 1260)]","(376.0, 1248.5)"
103,76 ª,"[(586, 1087), (628, 1105)]","(607.0, 1096.0)"
104,/ 488,"[(889, 1089), (950, 1113)]","(919.5, 1101.0)"
105,8,"[(1132, 1193), (1145, 1213)]","(1138.5, 1203.0)"
106,15.6,"[(1199, 1092), (1245, 1113)]","(1222.0, 1102.5)"
107,1.21,"[(1276, 1092), (1318, 1113)]","(1297.0, 1102.5)"
108,Coal Protective,"[(65, 1142), (240, 1166)]","(152.5, 1154.0)"
109,89 º,"[(584, 1139), (629, 1156)]","(606.5, 1147.5)"
110,/ 730,"[(932, 1138), (990, 1162)]","(961.0, 1150.0)"
111,15.8,"[(1200, 1192), (1246, 1213)]","(1223.0, 1202.5)"
112,1.19,"[(1275, 1242), (1321, 1261)]","(1298.0, 1251.5)"
113,Intermediate,"[(64, 1192), (208, 1216)]","(136.0, 1204.0)"
114,94 ª,"[(586, 1187), (627, 1205)]","(606.5, 1196.0)"
115,/ 900,"[(929, 1189), (989, 1213)]","(959.0, 1201.0)"
116,1.17,"[(1275, 1192), (1319, 1212)]","(1297.0, 1202.0)"
117,Production,"[(64, 1242), (188, 1266)]","(126.0, 1254.0)"
118,71 º,"[(584, 1237), (630, 1258)]","(607.0, 1247.5)"
119,/ 3005,"[(921, 1239), (998, 1263)]","(959.5, 1251.0)"
120,14.5,"[(1200, 1242), (1245, 1262)]","(1222.5, 1252.0)"
121,DJ NA,"[(1441, 891), (1508, 915)]","(1474.5, 903.0)"
122,NA,"[(1441, 928), (1507, 950)]","(1474.0, 939.0)"
123,Gas Migration,"[(1406, 964), (1558, 987)]","(1482.0, 975.5)"
124,Controls Used,"[(1403, 989), (1559, 1011)]","(1481.0, 1000.0)"
125,What controls were used if any,"[(1336, 1023), (1625, 1042)]","(1480.5, 1032.5)"
126,(additives/ hardware. Specify type anci,"[(1336, 1042), (1623, 1063)]","(1479.5, 1052.5)"
127,depth applicable),"[(1334, 1061), (1470, 1080)]","(1402.0, 1070.5)"
128,If additional strings,"[(66, 1330), (231, 1351)]","(148.5, 1340.5)"
129,attach form(s),"[(63, 1352), (188, 1373)]","(125.5, 1362.5)"
130,Total,"[(836, 1341), (892, 1365)]","(864.0, 1353.0)"
131,5685,"[(950, 1343), (1009, 1366)]","(979.5, 1354.5)"
132,CASING AND TUBING,"[(475, 1386), (768, 1412)]","(621.5, 1399.0)"
133,Hole,"[(86, 1454), (137, 1475)]","(111.5, 1464.5)"
134,Size,"[(1205, 1863), (1253, 1885)]","(1229.0, 1874.0)"
135,Pipe,"[(188, 1455), (236, 1478)]","(212.0, 1466.5)"
136,Wt.,"[(309, 1456), (343, 1477)]","(326.0, 1466.5)"
137,#/ft.,"[(305, 1481), (345, 1503)]","(325.0, 1492.0)"
138,Grade Casing,"[(389, 1456), (537, 1480)]","(463.0, 1468.0)"
139,Tubing Type New/ Used,"[(394, 1480), (660, 1505)]","(527.0, 1492.5)"
140,Thread /,"[(556, 1431), (649, 1453)]","(602.5, 1442.0)"
141,Weld -,"[(565, 1457), (640, 1478)]","(602.5, 1467.5)"
142,Amount in,"[(678, 1458), (789, 1478)]","(733.5, 1468.0)"
143,Well (ft.),"[(688, 1482), (781, 1505)]","(734.5, 1493.5)"
144,Co,"[(809, 1484), (845, 1504)]","(827.0, 1494.0)"
145,R,"[(868, 1484), (888, 1504)]","(878.0, 1494.0)"
146,Hardware - Baskets / Packer / Centralizers,"[(950, 1433), (1399, 1457)]","(1174.5, 1445.0)"
147,Type,"[(971, 1483), (1026, 1507)]","(998.5, 1495.0)"
148,(Total/String),"[(1103, 1459), (1245, 1485)]","(1174.0, 1472.0)"
149,Depth,"[(811, 1834), (875, 1856)]","(843.0, 1845.0)"
150,Date Run,"[(1482, 1487), (1582, 1508)]","(1532.0, 1497.5)"
151,36,"[(311, 1671), (337, 1691)]","(324.0, 1681.0)"
152,30,"[(199, 1520), (224, 1540)]","(211.5, 1530.0)"
153,99,"[(313, 1521), (337, 1541)]","(325.0, 1531.0)"
154,LS,"[(447, 1521), (478, 1542)]","(462.5, 1531.5)"
155,W- N,"[(569, 1522), (632, 1542)]","(600.5, 1532.0)"
156,100,"[(714, 1524), (752, 1543)]","(733.0, 1533.5)"
157,11/27/2015,"[(1476, 1525), (1590, 1548)]","(1533.0, 1536.5)"
158,24,"[(97, 1569), (125, 1591)]","(111.0, 1580.0)"
159,20,"[(310, 1721), (338, 1741)]","(324.0, 1731.0)"
160,94,"[(314, 1570), (338, 1591)]","(326.0, 1580.5)"
161,J-55,"[(439, 1671), (483, 1692)]","(461.0, 1681.5)"
162,T- N,"[(575, 1570), (627, 1594)]","(601.0, 1582.0)"
163,261,"[(714, 1572), (751, 1594)]","(732.5, 1583.0)"
164,US,"[(809, 1723), (843, 1743)]","(826.0, 1733.0)"
165,Y,"[(868, 1722), (886, 1743)]","(877.0, 1732.5)"
166,5/4/2016,"[(1487, 1574), (1577, 1597)]","(1532.0, 1585.5)"
167,17.5,"[(91, 1619), (134, 1641)]","(112.5, 1630.0)"
168,13.375,"[(176, 1620), (247, 1641)]","(211.5, 1630.5)"
169,54.5,"[(302, 1621), (348, 1641)]","(325.0, 1631.0)"
170,T-N,"[(580, 1721), (620, 1743)]","(600.0, 1732.0)"
171,868,"[(712, 1622), (751, 1643)]","(731.5, 1632.5)"
172,7/8/2016,"[(1487, 1624), (1576, 1648)]","(1531.5, 1636.0)"
173,12.375,"[(78, 1670), (147, 1691)]","(112.5, 1680.5)"
174,9.625,"[(181, 1670), (240, 1690)]","(210.5, 1680.0)"
175,2497,"[(706, 1673), (758, 1692)]","(732.0, 1682.5)"
176,7/11/2016,"[(1481, 1675), (1583, 1698)]","(1532.0, 1686.5)"
177,8.5,"[(94, 1719), (129, 1740)]","(111.5, 1729.5)"
178,5.5,"[(193, 1721), (227, 1740)]","(210.0, 1730.5)"
179,P-110,"[(429, 1720), (493, 1742)]","(461.0, 1731.0)"
180,15825,"[(702, 1722), (764, 1744)]","(733.0, 1733.0)"
181,3/23/2017,"[(1479, 1725), (1582, 1748)]","(1530.5, 1736.5)"
182,"If any casing is welded, provide the name(s) of the welder(s):","[(63, 1760), (741, 1789)]","(402.0, 1774.5)"
183,PLUG-BACK/WELLBORE ALTERATION,"[(578, 1800), (1104, 1828)]","(841.0, 1814.0)"
184,Fill Material & Plugs,"[(289, 1845), (505, 1872)]","(397.0, 1858.5)"
185,Date,"[(1021, 1849), (1071, 1871)]","(1046.0, 1860.0)"
186,Casing & Tubing,"[(1300, 1837), (1483, 1862)]","(1391.5, 1849.5)"
187,From,"[(745, 1863), (804, 1883)]","(774.5, 1873.0)"
188,To,"[(882, 1864), (911, 1883)]","(896.5, 1873.5)"
189,Pulled,"[(1365, 1865), (1434, 1885)]","(1399.5, 1875.0)"
190,Left,"[(1527, 1866), (1572, 1886)]","(1549.5, 1876.0)"
191,None,"[(355, 1894), (417, 1918)]","(386.0, 1906.0)"
